"Revision #:";"# de révision :"
"If not, click <a href=""[[ url ]]"">here</a>.";"Si ce n’est pas le cas, cliquez <a href=""[[ url ]]"">ici</a>."
"An error occurred while logging in";"Une erreur est survenue lors de la connexion"
"{{ errorMessage }}: {{ errorThrown }}";"{{ errorMessage }} : {{ errorThrown }}"
"[[ errorMessage ]]: [[ errorThrown ]]";"[[ errorMessage ]] : [[ errorThrown ]]"
"Invalid object type or ID";"Le type ou l'ID de l'objet est invalide"
"Invalid email or password";"Courriel ou mot de passe invalide"
"You are now logged out.";"Votre déconnexion a bien été effectuée."
"An error occurred while logging out";"Une erreur est survenue lors de la déconnexion"
"Please wait";"Veuillez patienter"
"Try again";"Essayer à nouveau"
"Try again later";"Réessayez plus tard "
"Missing email.";"Courriel manquant."
"Missing CAPTCHA response.";"Réponse CAPTCHA manquante."
"Invalid or malformed CAPTCHA response.";"Réponse CAPTCHA invalide ou malformé."
"If a registered user matches the given email address, instructions to reset your password will be sent to the email address registered with that account.";"Si un utilisateur enregistré correspond à l'adresse e-mail indiquée, les instructions pour réinitialiser votre mot de passe seront envoyées à l'adresse e-mail enregistrée avec ce compte."
"Check your email for instructions to reset your password.";"Vérifiez vos courriels pour obtenir les instructions pour réinitialiser votre mot de passe."
"An error occurred while processing the password reset request.";"Une erreur s'est produite lors du traitement de la demande de réinitialisation de mot de passe."
"{{ siteName }} — Password Reset";"{{ siteName }} — Réinitialiser le mot de passe"
"Charcoal — Password Reset";"Charcoal — Réinitialiser le mot de passe"
"Missing reset token.";"Clé de réinitialisation manquante."
"Missing password";"Mot de passe manquant"
"Missing password confirmation";"Confirmation de mot de passe manquant"
"Passwords do not match";"Les mots de passe ne correspondent pas"
"An error occurred while processing the password change.";"Une erreur s'est produite lors du traitement du changement de mot de passe."
"Your password reset token is invalid or expired.";"Votre clé de réinitialisation de mot de passe est invalide ou expiré."
"Please request a new token below.";"Veuillez demander une nouvelle clé ci-dessous."
"Password has been successfully changed.";"Le mot de passe a été modifié avec succès."
"Your password has been successfully changed.";"Votre mot de passe a été modifié avec succès."
"Failed to delete object";"Échec de la suppression de l'objet"
"Failed to remove object";"Échec de la suppression de l'objet"
"{{ parameter }} required, must be a {{ expectedType }}, received {{ actualType }}";"{{ parameter }} requis, doit être de type {{ expectedType }}, reçu {{ actualType }}"
"{{ parameter }} must be a {{ expectedType }}, received {{ actualType }}";"{{ parameter }} doit être de type {{ expectedType }}, reçu {{ actualType }}"
"No object found.";"Aucun objet trouvé."
"Object permanently deleted.";"Objet supprimé en permanence."
"Deleted Object: {{ objId }}";"Objet supprimé : {{ objId }}"
"Failed to export object(s)";"Échec de l'exportion de ou des objet(s)"
"Failed to load object(s)";"Échec de chargement des objets"
"No objects found.";"Aucun objet trouvé."
"One object found.";"Un objet trouvé."
"{{ count }} objects found.";"{{ count }} objets trouvés."
"Failed to sort object(s)";"Échec de tri des objets"
"Missing ""{{ propIdent }}"" property for sorting on {{ objType }}";"Propriété “{{ propIdent }}“ manquante pour le tri sur {{ objType }}"
"Object has been successfully updated.";"Objet a été mis à jour avec succès."
"Objects have been successfully reordered.";"Les objets ont été triés avec succès."
"Failed to restore revision";"Échec de la restauration de la révision"
"Object has been successfully restored to revision from {{ revisionDate }}";"Objet restauré, avec succès, à la révision de {{ revisionDate }}"
"Restored Revision: {{ revisionNum }}";"Révision restaurée : {{ revisionNum }}"
"Reverted Object: {{ objId }}";"Objet rétabli : {{ objId }}"
"Failed to create object";"Échec de la création de l'objet"
"Failed to save object";"Échec de la sauvegarde de l'objet"
"Saving object";"Sauvegarde de l'objet"
"Creating object";"Création de l'objet"
"Invalid Data";"Données invalides"
"Object has been successfully created.";"Objet a été créé avec succès."
"Created Object: {{ objId }}";"Objet créé : {{ objId }}"
"Failed to update object";"Échec de la mise à jour de l'objet"
"Updating object";"Mise à jour de l'objet"
"Updated Object: {{ objId }}";"Objet mis à jour : {{ objId }}"
"Failed to reload widget";"Échec de rechargement du widget"
"Failed to load widget";"Échec de chargement du widget"
"Widget Reloaded";"Widget rechargé"
"Widget Loaded";"Widget chargé"
"Failed to load quick edit";"Échec de chargement de la modification rapide"
"Widgets Loaded";"Widgets chargés"
"— None —";"— Aucun —"
"filesystem.library.files";"Gestionnaire de fichiers"
"filesystem.library.media";"Médiathèque"
"Choose file…";"Choisissez un fichier…"
"Choose files…";"Choisissez des fichiers…"
"Choose image…";"Choisissez une image…"
"Choose images…";"Choisissez des images…"
"Clear selected file";"Effacer le fichier sélectionné"
"Clear selected files";"Effacer les fichiers sélectionnés"
"Library";"Librairie"
"filesystem.volume.default";"Librairie"
"filesystem.volume.library";"Librairie"
"filesystem.volume.storage";"Espace"
"filesystem.volume.uploads";"Espace"
"filesystem.volume.public";"Publique"
"filesystem.volume.private";"Privé"
"Public";"Publique"
"Private";"Privé"
"Support";"Support"
"Database table created for ""{{ objType }}"".";"Table de base de données créée pour ""{{ objType }}""."
"Collection: {{ objType }}";"Collection : {{ objType }}"
"Edit: {{ objType }} #{{ id }}";"Modifier : {{ objType }} #{{ id }}"
"Create: {{ objType }} from ID ""%s""";"Créer : {{ objType }} de l'ID ""%s"""
"Create: {{ objType }}";"Créer : {{ objType }}"
"Administrators";"Administrateurs"
"Save";"Sauvegarder"
"Map";"Carte"
"Update";"Mettre à jour"
"Success";"Succès"
"Notice";"Notice"
"Information";"Information"
"Attention";"Attention"
"Confirmation";"Confirmation"
"Unknown Error";"Erreur inconnue"
"An error occurred";"Une erreur est survenue"
"Web Worker time-out period reached";"Délai d'expiration du Web Worker atteint"
"Objects list navigation";"Navigation de la liste des objects"
"Dismiss this notice.";"Fermer cette notice."
"Dismiss Errors";"Ignorer les erreurs"
"Dismiss";"Fermer"
"Close";"Fermer"
"Are you sure you want to do this?";"Voulez-vous vraiment effectuer cette action?"
"This operation cannot be undone.";"Cette opération est irréversible."
"Yes";"Oui"
"No";"Non"
"Quick Create";"Création Rapide"
"Quick Edit";"Édition Rapide"
"Next";"Suivant"
"Finish";"Terminer"
"Step [[ current ]] of [[ total ]]";"Étape [[ current ]] sur [[ total ]]"
"Daily Charcoal Notification - %s";"Notifications Charcoal journalière - %s"
"time.year";"1 année|{{ count }} années"
"time.month";"1 mois|{{ count }} mois"
"time.week";"1 semaine|{{ count }} semaines"
"time.day";"1 jour|{{ count }} jours"
"time.hour";"1 heure|{{ count }} heures"
"time.minute";"1 minute|{{ count }} minutes"
"time.second";"1 seconde|{{ count }} secondes"
"time.ago";"il y a {{ time }}"
"time.from_now";"{{ time }} à partir de maintenant"
"time.after";"{{ time }} après"
"time.before";"{{ time }} avant"
"Last updated";"Dernière mise à jour"
"Jump";"Sauter"
"form.validation.bad_input";"Veuillez saisir une valeur valide."
"form.validation.bad_input_number";"Veuillez saisir un nombre."
"form.validation.pattern_mismatch";"Veuillez modifier la valeur pour correspondre au format demandé."
"form.validation.pattern_mismatch_with_format";"Veuillez modifier la valeur du champ pour correspondre au format demandé : {{ format }}"
"form.validation.range_overflow";"Veuillez sélectionner une valeur inférieure ou égale à {{ max }}."
"form.validation.range_overflow_datetime";"Veuillez sélectionner une valeur antérieure ou égale à {{ max }}."
"form.validation.range_underflow";"Veuillez sélectionner une valeur supérieure ou égale à {{ min }}."
"form.validation.range_underflow_datetime";"Veuillez sélectionner une valeur postérieure ou égale à {{ min }}."
"form.validation.range_underflow_and_overflow";"Veuillez sélectionner une valeur entre {{ lowValue }} et {{ highValue }}."
"form.validation.step_mismatch";"Veuillez sélectionner une valeur valide. Les deux valeurs valides les plus proches sont {{ lowValue }} et {{ highValue }}."
"form.validation.step_mismatch_one_value";"Veuillez sélectionner une valeur valide. La valeur valide la plus proche est {{ value }}."
"form.validation.too_long";"Veuillez raccourcir ce champ à {{ max }} caractères ou moins."
"form.validation.too_long_with_count";"Veuillez raccourcir ce champ à {{ max }} caractères ou moins (vous utilisez actuellement {{ count }} caractères)."
"form.validation.too_short";"Veuillez utiliser au moins {{ min }} caractères pour ce champ."
"form.validation.too_short_with_count";"Veuillez utiliser au moins {{ min }} caractères pour ce champ (vous utilisez actuellement un caractère)."
"form.validation.too_short_plural";"Veuillez utiliser au moins {{ min }} caractères pour ce champ (vous utilisez actuellement {{ count }} caractères)."
"form.validation.not_unique";"Veuillez saisir une valeur unique."
"form.validation.type_mismatch";"Veuillez saisir une valeur valide."
"form.validation.type_mismatch_date";"Veuillez saisir une date."
"form.validation.type_mismatch_datetime";"Veuillez saisir une date et une heure."
"form.validation.type_mismatch_email";"Veuillez saisir une adresse électronique."
"form.validation.type_mismatch_number";"Veuillez saisir un nombre."
"form.validation.type_mismatch_tel";"Veuillez saisir un numéro de téléphone."
"form.validation.type_mismatch_time";"Veuillez saisir une heure."
"form.validation.type_mismatch_url";"Veuillez saisir une URL."
"form.validation.value_missing";"Veuillez compléter ce champ."
"form.validation.value_missing_checkbox";"Veuillez cocher cette case si vous désirez poursuivre."
"form.validation.value_missing_file";"Veuillez sélectionner un fichier."
"form.validation.value_missing_file_multiple";"Veuillez sélectionner un ou plusieurs fichiers."
"form.validation.value_missing_radio";"Veuillez sélectionner l’une de ces options."
"form.validation.value_missing_select";"Veuillez sélectionner un élément dans la liste."
"form.validation.value_missing_select_multiple";"Veuillez sélectionner un ou plusieurs éléments dans la liste."
"Cache information";"Informations sur la cache"
"Cache Entries";"Entrées de la cache"
"Key";"Clé"
"Hits";"Accès"
"Size";"Taille"
"Created";"Créé"
"Timeout";"Délai"
"Expiry";"Expiration"
"No records found";"Aucun enregistrement trouvé"
"Action";"Action"
"Active?";"Active ?"
"Cache Type";"Type de cache"
"Num Entries";"Nombre d'entrées"
"Total Size";"Taille totale"
"Templates Cache";"Cache des gabarits"
"The compiled templates of the view engines. Clearing this cache will make sure templates are recompiled at next request.";"Les gabarits compilés des moteurs de rendu. Vider cette cache forcera la recompilation des gabarits à la prochaine requête."
"There is no Cache folder created for Twig.";"Aucun dossier de cache n'a été créé pour Twig."
"There is no Cache folder created for Mustache.";"Aucun dossier de cache n'a été créé pour Mustache."
"Clear Templates Cache";"Vider la cache des gabarits"
"Objects Cache";"Cache des objets"
"This cache includes the objects and their metadata.";"Cette cache comprend les objets et leurs métadonnées."
"Clearing this cache will reset all metadata (e.g., from their JSON files) and objects will be reloaded from their source (database) at next request.";"Vider cette cache réinitialisera toutes les métadonnées (p. ex. provenant de leurs fichiers JSON) et les objets seront rechargés depuis leur source (base de données) à la prochaine requête."
"Clear Objects Cache";"Vider la cache des objets"
"Pages Cache";"Cache des pages"
"Some pages might be saved entirely in the cache, either at route-level or template-level.";"Certaines pages peuvent être enregistrées entièrement dans la cache, au niveau de la route ou du gabarit."
"Clearing this cache will make sure the pages will be rebuilt at next request.";"Vider cette cache forcera la reconstruction des pages à la prochaine requête."
"Clear Pages Cache";"Vider la cache des pages"
"Application Cache";"Cache de l'application"
"Clearing this cache will clear *all* entries in the application cache pool. In other words, it completely erase all items in the cache (pages, objects and everything else).";"Vider cette cache supprimera *toutes* les entrées de la cache de l'application. Autrement dit, elle efface complètement tous les éléments de la cache (pages, objets et tout le reste)."
"It does not clear the compiled templates nor the Cloudflare cache.";"Elle ne vide ni les gabarits compilés ni la cache Cloudflare."
"If the <a href=""{{ adminUrl }}system/static-website"">static website</a> option is enabled, clearing the cache might not result in new versions of the page, as the static website, when properly configured, supercedes all cache.";"Si l'option <a href=""{{ adminUrl }}system/static-website"">site web statique</a> est activée, vider la cache pourrait ne pas produire de nouvelles versions des pages, puisque le site statique, lorsqu'il est bien configuré, a préséance sur toute cache."
"The <em>Purge</em> function allows the cache to perform basic maintenance tasks, such as removing stale or expired items and reindexing data for improved performance.";"La fonction <em>Purger</em> permet à la cache d'effectuer des tâches d'entretien de base, comme retirer les éléments périmés ou expirés et réindexer les données pour améliorer la performance."
"Clear Application Cache";"Vider la cache de l'application"
"Cloudflare Cache";"Cache Cloudflare"
"Purges the Cloudflare edge cache for this site. This removes *all* cached assets and pages from Cloudflare's network, forcing them to be re-fetched from the origin on next request.";"Purge la cache périphérique (edge) de Cloudflare pour ce site. Cela retire *toutes* les ressources et pages en cache du réseau de Cloudflare, qui devront être récupérées depuis le serveur d'origine à la prochaine requête."
"This is separate from the application and templates caches: it clears content cached at Cloudflare's edge, not this application's own internal cache.";"Ceci est distinct des caches de l'application et des gabarits : on vide le contenu en cache chez Cloudflare, pas la cache interne de l'application."
"Purge Cloudflare Cache";"Purger la cache Cloudflare"
"All Caches";"Toutes les caches"
"Clears every cache at once:";"Vide toutes les caches d'un coup :"
"Application cache (pages, objects, metadata and all other items)";"Cache de l'application (pages, objets, métadonnées et tous les autres éléments)"
"Templates cache (compiled Twig and Mustache templates)";"Cache des gabarits (gabarits Twig et Mustache compilés)"
"Cloudflare edge cache (all pages and assets)";"Cache périphérique Cloudflare (toutes les pages et ressources)"
"Clear All Caches";"Vider toutes les caches"
"The Ephemeral driver is a special backend that only stores data for the lifetime of the script, whether it be a longer running process or a web request.";"Le pilote Ephemeral est un système spécial qui ne conserve les données que pour la durée de vie du script, qu'il s'agisse d'un processus de longue durée ou d'une requête web."
"Items pushed to this driver are stored in the script's running memory.";"Les éléments envoyés à ce pilote sont conservés dans la mémoire d'exécution du script."
"Cache statistics are only available for the APC cache type.";"Les statistiques de la cache ne sont disponibles que pour le type de cache APC."
"In progress…";"En cours…"
"Cache Cleared";"Cache vidée"
"Failed to clear cache";"Impossible de vider la cache"
"Cache";"Cache"
"Cache type not defined.";"Type de cache non défini."
"All caches cleared successfully.";"Toutes les caches ont été vidées avec succès."
"Some caches could not be cleared.";"Certaines caches n'ont pas pu être vidées."
"Application cache cleared successfully.";"La cache de l'application a été vidée avec succès."
"Failed to clear application cache.";"Impossible de vider la cache de l'application."
"Pages cache cleared successfully.";"La cache des pages a été vidée avec succès."
"Failed to clear pages cache.";"Impossible de vider la cache des pages."
"Objects cache cleared successfully.";"La cache des objets a été vidée avec succès."
"Failed to clear objects cache.";"Impossible de vider la cache des objets."
"Templates cache cleared successfully.";"La cache des gabarits a été vidée avec succès."
"Failed to clear templates cache.";"Impossible de vider la cache des gabarits."
"Twig cache cleared successfully.";"La cache Twig a été vidée avec succès."
"Failed to clear Twig cache.";"Impossible de vider la cache Twig."
"Mustache cache cleared successfully.";"La cache Mustache a été vidée avec succès."
"Failed to clear Mustache cache.";"Impossible de vider la cache Mustache."
"Cloudflare cache purged successfully.";"La cache Cloudflare a été purgée avec succès."
"Failed to purge Cloudflare cache.";"Impossible de purger la cache Cloudflare."
"Deleting cache items is unsupported, for now.";"La suppression d'éléments de la cache n'est pas prise en charge pour l'instant."
"Invalid cache type ""%s""";"Type de cache invalide « %s »"
"The following caches were cleared:";"Les caches suivantes ont été vidées :"
"The following caches could not be cleared:";"Les caches suivantes n'ont pas pu être vidées :"
"Pages cache (request and template items)";"Cache des pages (éléments de requête et de gabarit)"
"Objects cache (object and metadata items)";"Cache des objets (éléments d'objets et de métadonnées)"
"Twig compiled templates";"Gabarits Twig compilés"
"Mustache compiled templates";"Gabarits Mustache compilés"
"%s (nothing to clear)";"%s (rien à vider)"
"Cloudflare edge cache";"Cache périphérique Cloudflare"
"Cloudflare is not configured.";"Cloudflare n'est pas configuré."
"Cloudflare edge cache for zone %s (purge ID: %s): all HTML pages, static assets and other cached files";"Cache périphérique Cloudflare pour la zone %s (ID de purge : %s) : toutes les pages HTML, ressources statiques et autres fichiers en cache"
"Failed to reach Cloudflare: ";"Impossible de joindre Cloudflare : "
